epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6584.17,inf,1.75396,0.89111,0.91521,0.93021,0.96422,0.96346,0.05902,0.32088,0.18607,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6786.92,0.10297,1.75484,0.8921,0.91194,0.93331,0.96439,0.96345,0.05805,0.31705,0.18519,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,203.728,0.09652,1.71624,0.88968,0.91456,0.93368,0.96417,0.96337,0.05806,0.31603,0.1855,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,407.755,0.09832,1.7197,0.89045,0.91421,0.93445,0.9645,0.96358,0.05953,0.32066,0.18701,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,612.087,0.09479,1.70342,0.88748,0.91495,0.93575,0.96463,0.9637,inf,0.32036,0.18759,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,814.937,0.0934,1.69107,0.88916,0.91523,0.93544,0.96437,0.96348,0.05917,0.31933,0.18729,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,1018.18,0.09154,1.70283,0.88893,0.91696,0.93646,0.96467,0.96386,0.05845,0.3159,0.18701,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,1221.59,0.08806,1.67356,0.88758,0.9163,0.9379,0.96454,0.96374,0.05802,0.31638,0.18687,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,1424.94,0.08559,1.66057,0.88679,0.91754,0.93646,0.96454,0.96367,0.05812,0.31623,0.18708,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,1627.82,0.06463,0.12666,0.87874,0.91738,0.93705,0.96463,0.96375,0.05874,0.31566,0.18754,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,1830.45,inf,0.10246,0.87639,0.91823,0.9371,0.96396,0.96337,0.0598,0.31479,0.18822,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,2032.8,0.05742,0.09871,0.88123,0.91869,0.93812,0.96381,0.96317,0.06136,0.3148,0.1893,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,2235.28,0.05186,0.08515,0.87743,0.91713,0.9382,0.96385,0.96325,inf,0.31713,0.19046,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,2437.48,0.0467,0.08097,0.87308,0.91748,0.93653,0.96359,0.96311,inf,0.31865,0.19133,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,2640.03,0.04351,0.07746,0.87501,0.91769,0.93573,0.96317,0.96278,inf,0.32007,0.19201,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,2841.75,0.03933,0.0687,0.87151,0.91753,0.93521,0.96302,0.96267,inf,0.321,0.19246,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,3044.29,0.0371,0.06439,0.87236,0.91646,0.93633,0.963,0.96268,inf,0.3198,0.19282,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,3246.17,0.03426,0.0612,0.87113,0.91629,0.93683,0.96309,0.96272,inf,0.31964,0.19364,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,3448.62,0.03263,0.05902,0.87221,0.91687,0.93573,0.963,0.96254,inf,0.32061,0.19435,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
