epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4547.59,0.14769,3.28855,0.90368,0.62173,0.5369,0.73698,0.73698,0.04611,2.13149,0.18745,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4687.33,0.14616,3.23834,0.902,0.60515,0.5784,0.75574,0.75574,0.04587,2.06212,0.1851,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4827.5,0.14462,3.19954,0.90196,0.59649,0.62875,0.78268,0.78268,0.04088,1.98171,0.18677,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4967.24,0.1423,3.15983,0.9027,0.59438,0.65707,0.80551,0.80551,0.04527,1.90595,0.1874,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5106.75,0.14238,3.10416,0.90182,0.57608,0.69994,0.82201,0.82201,inf,1.8299,0.18809,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5246.68,0.13929,3.05816,0.89982,0.57467,0.72731,0.84386,0.84386,0.04551,1.76431,0.18588,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5386.74,0.13648,3.01796,0.89987,0.57515,0.7524,0.85414,0.85414,inf,1.69671,0.1861,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5526.92,0.136,2.9709,0.90047,0.57927,0.7628,0.86107,0.86107,0.05233,1.63454,0.18876,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5666.61,0.13566,2.9281,0.90018,0.57394,0.7791,0.88158,0.88158,0.05318,1.5651,0.18858,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5806.02,0.13117,2.8906,0.8992,0.57159,0.80577,0.89427,0.89427,inf,1.50405,0.18702,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5945.92,0.1298,2.85165,0.89876,0.57009,0.8208,0.90396,0.90396,inf,1.44528,0.18718,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6086.33,0.12754,2.7951,0.89827,0.57587,0.83057,0.91166,0.91166,0.05004,1.38946,0.18694,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6227.19,0.12722,2.76364,0.89846,0.58112,0.84221,0.91838,0.91838,0.05055,1.33133,0.18628,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6367.22,0.12647,2.72807,0.89888,0.58642,0.85079,0.92526,0.92526,0.04947,1.27712,0.18574,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6507.57,0.12222,2.69288,0.89744,0.59403,0.85488,0.93023,0.93023,inf,1.23146,0.18504,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6647.28,inf,2.64178,0.89661,0.6058,0.85455,0.93572,0.93572,inf,1.18422,0.18465,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6787.85,0.12018,2.63347,0.89746,0.60897,0.86278,0.94024,0.94024,0.04553,1.13913,0.18345,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6927.6,0.12081,2.58932,0.89649,0.61641,0.86473,0.94393,0.94393,inf,1.0992,0.18301,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7067.12,0.11682,2.55098,0.89547,0.62444,0.86774,0.94669,0.94669,inf,1.06133,0.18313,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7207.52,0.11731,2.52897,0.89543,0.6283,0.87094,0.94882,0.94882,0.04398,1.02549,0.18272,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7346.83,0.11516,2.50147,0.89538,0.63187,0.87492,0.95008,0.95008,inf,0.98977,0.18236,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7486.13,0.11255,2.47258,0.89499,0.63675,0.87836,0.95349,0.95349,0.04327,0.96138,0.18234,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7626.2,0.11183,2.46412,0.89348,0.63622,0.88903,0.95482,0.95482,0.04289,0.9332,0.18211,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7766.21,0.11239,2.43864,0.89425,0.63545,0.89373,0.95692,0.95692,0.0432,0.90751,0.18221,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,7905.79,0.11058,2.42347,0.89474,0.64629,0.89241,0.9581,0.9581,inf,0.88575,0.18208,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8045.75,0.10798,2.40495,0.89444,0.65499,0.88859,0.95955,0.95955,0.04309,0.86222,0.18163,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8185.25,0.10684,2.39265,0.89322,0.6659,0.88353,0.96055,0.96055,inf,0.84283,0.18114,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8325.14,0.10594,2.37562,0.89446,0.66528,0.89268,0.96164,0.96164,inf,0.82396,0.18064,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8464.16,0.10367,2.36539,0.89299,0.67247,0.89156,0.96254,0.96254,0.04178,0.80602,0.1803,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8603.32,0.10249,2.34601,0.89237,0.67378,0.89416,0.96297,0.96297,0.0413,0.7888,0.1799,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8742.83,0.10224,2.34102,0.89287,0.68375,0.89096,0.96429,0.96429,0.04109,0.77268,0.17955,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,8882.22,0.10126,2.32061,0.89148,0.69295,0.88381,0.96506,0.96506,0.04085,0.75877,0.17954,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9022.26,0.09689,2.29938,0.89013,0.69796,0.88288,0.96485,0.96485,0.0408,0.74583,0.17963,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9160.47,0.09696,2.28489,0.88978,0.70373,0.88287,0.96544,0.96544,inf,0.73305,0.17981,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9299.7,0.09805,2.27989,0.89013,0.71049,0.87838,0.96561,0.96561,inf,0.72099,0.17968,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9439.16,0.09566,2.25765,0.89172,0.71597,0.87947,0.96621,0.96621,0.04051,0.70905,0.1796,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9577.47,0.09358,2.27306,0.88835,0.72784,0.87592,0.96652,0.96652,0.0403,0.69592,0.17933,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
